,Word,Filipino translation,Valence,Arousal,Dominance
1,aardvark,,6.26,2.41,4.27
2,abalone,kabibing teynga,5.3,2.65,4.95
3,abandon,"iwan, pabayaang ganap",2.84,3.73,3.32
4,abandonment,"pag-iwang ganap, pabayaang ganap",2.63,4.95,2.64
5,abbey,kumbento,5.85,2.2,5
6,abdomen,tiyan,5.43,3.68,5.15
7,abdominal,"hinggil sa tiyan, nasa tiyan",4.48,3.5,5.32
8,abduct,"dukutin, tangayin sa pilit",2.42,5.9,2.75
9,abduction,"pagdukot, pagtangay nang sapilitan",2.05,5.33,3.02
10,abide,sumunod,5.52,3.26,5.33
11,abiding,"masunurin, mapagtalima",5.57,3.59,6.6
12,ability,"kakayahan, abilidad",7,4.85,6.55
13,abject,"kahabag-habag, kasuklam-suklam",4,3.94,4.35
14,ablaze,nasusunog,5.15,6.75,4.58
15,able,may kakayahan,6.64,3.38,6.17
16,abnormal,"di-karaniwan, hindi normal",3.53,4.48,4.7
17,abnormality,"pagiging di-karaniwan, pagiging hindi normal",3.05,5,3.96
18,abode,tahanan,5.28,2.9,5.05
19,abolish,buwagin; pawiin,3.84,4.18,4.65
20,abominable,"nakapopoot, kahiya-hiya, kasuklam-suklam",4.05,5.45,4.62
21,abomination,"pagkapoot, pagkasuklam",2.5,5.9,3.8
22,abort,"alisin  sa sinapupunan, kanselahin",3.1,5.8,3.38
23,abortion,pagpapalaglag,2.58,5.43,4.73
24,abracadabra,mga salitang pangmadyik; kalokohan,5.11,5.27,4.96
25,abrasive,magaspang,4.26,6.1,4.94
26,abreast,"magkaagapay, magkatabi",4.62,4.61,5.19
27,abrupt,"agad-agad, biglaan",3.28,5.23,3.75
28,abscess,naknak,2.79,4,3.95
29,absence,pagliban,3.86,4.3,4.24
30,absent,liban,4.1,3.72,4.21
31,absinthe,absinte,3.53,3.7,3.95
32,absolute,"buo, ganap",5.43,3.48,5.58
33,absolution,kapatawaran,6.58,3.38,5.75
34,absolve,patawarin,4.58,3.53,4.82
35,absorb,sipsipin,5.5,4.27,5.62
36,abstain,mangilin,4.4,3.1,6.08
37,abstinence,pangingilin,3.43,3.15,5.64
38,abstract,"abstrak, lagom",5.25,3.96,5.53
39,absurd,"hindi totoo, baligho",4.45,4.02,5.06
40,absurdity,"katatawanan, kabalighuan, kagaguhan",4.06,4.7,5.37
41,abundance,kasaganaan,6.67,4.72,5.66
42,abundant,sagana,7.55,4.21,5.81
43,abuse,pang-aabuso,1.53,6.21,2.9
44,abusive,mapang-abuso,2.05,5.27,3.58
45,abysmal,"abismal, napakalalim",3.45,3.91,3.76
46,abyss,kailaliman,3.9,4.85,4
47,academic,akademiko,6.61,3.32,6.21
48,academy,akademiya,5.32,3.77,5.38
49,accelerant,akselerante,4.59,4.81,6.04
50,accelerate,pabilisin,6.1,6.04,6.15
51,accelerated,pinabilis,6.21,4.75,6.29
52,acceleration,"pagpapabilis, pag-arangkada",6.19,6.73,5.76
53,accelerator,"pampabilis, pang-arangkada, akselereytor",5.63,5,6.65
54,accent,tuldik,6.48,4.95,5.36
55,accept,tanggapin,6.39,2.8,5.94
56,acceptable,katanggap-tanggap,6.59,3.65,6.58
57,acceptance,pagtanggap,6.84,4.3,6.49
58,access,"makapasok, koneksiyon",6.68,5.3,6.89
59,accessible,madaling makalapit,6.68,3.2,6.58
60,accessory,"dagdag, kasabuwat",5.35,4.22,5.83
61,accident,aksidente,2.55,4.93,3
62,accidental,"nagkataon lamang, di-sinasadya",3.46,4,3.41
63,acclaim,"pagpuri, pagbubunyi",6.1,3.95,5.77
64,accommodate,pagbigyan,6.35,3,6.27
65,accommodation,matitirhan,6.76,4.72,6
66,accompany,samahan,5.47,3.85,5.63
67,accomplice,"kasabwat,kasapakat",4.6,4.5,5.2
68,accomplish,"tapusin, maisagawa, mapagtagumpayan",7.45,5.16,7.27
69,accomplishment,"naisagawa, natapos, napagtagumpayan",8.05,4.96,6.5
70,accord,"unawaan, kumomporme, magkasundo",6.38,2.85,5.64
71,accordion,akordiyon,5.26,2.94,5.21
72,account,"paliwanag, akawnt",5.39,3.76,5.06
73,accountability,"obligasyon, pananagutan",4.89,3.7,6.55
74,accountable,managot,5.7,4.2,5.57
75,accountant,tagapagtuos,5.19,3.81,5.72
76,accounting,"akawnting, pagtutuos",4.42,3.68,4.48
77,accumulate,"maipon, magtipon",6.33,2.73,6.15
78,accuracy,kawastuan,6.32,3.33,6.74
79,accurate,"wasto, tumpak",7.42,4.35,6.47
80,accursed,isinumpa,3.21,5.33,4.13
81,accusation,"akusa, paratang, bintang",3.38,5.48,3.62
82,accuse,"akusahan,paratangan, bintangan",2.68,5.32,4
83,ace,"alas, magaling, eksperto",6.37,4.64,6.61
84,acetylene,asetilin,4.11,3.67,4.7
85,ache,"sakit, kirot",3.27,4.3,4
86,achieve,makamit,7.75,4.7,6.61
87,achievement,tagumpay,7.28,5.57,7.17
88,achy,"masakit, makirot",3.15,4.48,4.62
89,acid,asido,3.26,4.77,4.26
90,acknowledge,"kilalanin, kumilala",6.43,3.26,6.11
91,acknowledgement,"pagkilala, pagtanggap",6.53,3.3,6.71
92,acne,taghiyawat,2.18,4.47,3.44
93,acorn,,5.85,4.42,4.77
94,acoustic,akustik,7.1,4,5.79
95,acoustics,akustika,6.33,3.19,5.86
96,acquaintance,kakilala,5.58,3.24,5.29
97,acquire,"kuhanin, magtamo",5.5,4.86,7
98,acquisition,"pagkuha, pagtatamo",5,4.36,5.93
99,acquit,pawalang sala,5.6,4.56,5.45
100,acquittal,"absuwelto, pagpapawalang-sala",6.19,4.95,5.03
101,acre,ektarya,5.53,2.73,4.94
102,acreage,,5.25,3.74,5.52
103,acrobat,"sirkero, akrobat ",6,4.9,5.42
104,acrylic,akrilik,5.52,3.73,5.42
105,act,"kumilos, gumanap, yugto",5.64,4.19,6.11
106,action,"aksiyon, kilos, galaw",6,6.19,6.17
107,action figure,pormang pang-aksiyon,6.18,4.65,6.71
108,activate,magpagalaw,5.7,3.78,6.28
109,activation,"pagalawin, paganahin",6.14,3.52,6.88
110,active,"aktibo, gumagana, masigasig",6.47,5.62,6.32
111,activist,aktibista,6.24,5.26,5.86
112,activity,gawain,6.21,4.86,6.45
113,actor,aktor,6.15,4.35,5.64
114,actress,aktres,5.42,5.43,4.65
115,actual,"aktuwal, tunay, totoo",6.22,2.75,5.54
116,actuality,katunayan,5.4,5.55,5.24
117,acupuncture,acupuncture,4.81,4.9,4.77
118,acute,"talamak, malubha, matindi",5.1,5.09,5.11
119,ad,anunsiyo,4.11,3.33,5.18
120,adage,"kasabihan, kawikaan",5.55,3.38,5.13
121,adamant,"matatag, matibay",5.45,5.74,6.38
122,adapt,"iangkop, iakma, ibagay",5.84,3.9,5.75
123,adaptation,"paglalapat, paghalaw, paghango",5.82,3.55,6.04
124,add,dagdag,6.23,4,6.79
125,adder,ulupong,4.45,3.24,4.41
126,addict,sugapa,2.86,5.33,2.74
127,addicted,"naging sugapa, gumon",2.89,4.77,2.84
128,addiction,"pagkasugapa, adiksiyon",3.52,4.48,3.84
129,addictive,"nakakapagpalulong, nakakapagpasugapa",3.52,4.82,4.4
130,additional,karagdagan,6.15,3.61,4.95
131,address,"detalye ng tirahan, talumpati",6.11,3.05,4.89
132,adept,dalubhasa,6.14,4.17,6.5
133,adequate,"husto, sapat",4.7,3.64,6.89
134,adhere,"dumikit, sumang-ayon, sumunod",5.17,3.52,3.9
135,adhesive,pandikit,5.84,3.2,4.88
136,Adidas,Adidas,5.77,4.18,6.3
137,adjacent,"kalapit, kanugnog",5.15,2.78,4.27
138,adjective,pang-uri,5.95,3.64,6.11
139,adjoining,"karatig, kalapit",5.06,3.52,4.65
140,adjourn,"itigil, magpaliban, tapusin",5.5,3.15,5.75
141,adjust,"itama, isaayos",5.76,3,6
142,adjuster,"tagatama, tagaayos",4.25,3.5,5.84
143,adjustment,"pagtatama, pag-aayos",5.53,4.59,4.53
144,admin,admin,4.37,3.64,5.83
145,administer,"mangasiwa, mamahala, magkaloob",4.4,3.86,6.33
146,administration,"pangangasiwa, pamamahala, administrasyon",4.45,3.23,4.77
147,administrative,administratibo,4.79,3.21,5.9
148,administrator,"tagapangasiwa, tagapamahala, administrador",5.32,4.74,5.48
149,admirable,"kahanga-hanga, kapuri-puri",7,4.57,5.81
150,admiral,almirante,4.8,4.05,5.68
151,admiralty,batas-pandagat,6.16,4.27,6.08
152,admiration,paghanga,7.58,5.52,6.11
153,admire,hangaan,7.35,5,7.33
154,admired,hinangaan,7.25,5.95,6.94
155,admirer,humahanga,7.05,6,6.27
156,admissible,"matatanggap, katanggap-tanggap",5.16,2.9,6.21
157,admission,"pag-amin, pagtanggap, pagpasok",5.91,3.69,5.54
158,admit,"tanggapin, papasukin",5.56,3.35,4.56
159,admittance,pagpapapasok,6.29,3.6,5.96
160,ado,"ingay, kuskos-balungos, kaguluhan",4.82,3.33,4.48
161,adobe,adobe,5.25,3.89,5.55
162,adolescence,"pagdadalaga, pagbibinata",6,5.1,4.44
163,adolescent,"nagbibinata, nagdadalaga",5.38,4.2,4
164,adopt,"ampunin, pagtibayin",6.9,4.71,5.45
165,adoption,"pag-ampon, pagpapatibay",6.68,4.82,5.62
166,adoptive,"umampon, nagpatibay",5.67,4.4,5.59
167,adorable,kaibig-ibig,7.4,4.66,6.83
168,adoration,pagsamba,6.47,4.36,6.54
169,adore,"sambahin, pakamahalin",7.37,5.96,6.26
170,adoring,sinasamba,7.38,4.86,6.29
171,adrenalin,adrenalin,6.33,5.05,4.85
172,adrenaline,adrenalin,6.61,5.95,5.72
173,adrift,natatangay,4.36,3.19,4.09
174,adult,may sapat na gulang,5.9,4.36,6.46
