Accuracy ,0.774647887,,
,,,
System,Human,Correct or not,
negative,negative,1,"@ImOverWidBraces @talk2GLOBE medyo, no response till now e. "
negative,negative,1,Inconsistent network coverage brought to us by @talk2GLOBE. Grrr ?????? 
negative,negative,1,Eh yung wala pa din ako natatanggap na feedback mula sa @talk2GLOBE ! 5 days na ah. Kainis talaga. Mga wala kwenta. Tsk. #Globe 
positive,negative,0,"No more instagram moments for me. Thanks, @talk2GLOBE!!! "
negative,negative,1,Dear @talk2GLOBE Ive been on the phone for the last 30 mins and til now im still on globe's IVR! Change your name to deadmaglobe!!!! 
negative,negative,1,@seyerandrei ahaha! Oh well. I learned my lesson na din nung last na uwi ko. I'll never use @talk2GLOBE na! 
negative,negative,1,"@talk2GLOBE hi! its been a week since they installed our wimax + landline, yet the landline is still inactive. "
negative,negative,1,TANGINA UMULAN LANG BUMAGAL NA BIS WHAT'S NEW @talk2GLOBE 
negative,negative,1,I'm having a problem with my signal when I'm at CEU Manila. Is there anything that you can do? @talk2GLOBE 
negative,negative,1,And I'm being charged P1 per nonsense message. @enjoyglobe @talk2globe #Globe http://t.co/KJQXVfV5gc http://t.co/niKUTt96kr 
negative,negative,1,@talk2GLOBE hello! May i know bakit ayaw niyo i-process yung supersurf registration ko? Mejo nakakainis na po. #GLOBEtelecom 
negative,negative,1,@talk2globe @enjoyglobe #Globe please block 2662 from sending me nonsense! http://t.co/p4iPEEQCbM http://t.co/xrTKzoZrW2 
negative,negative,1,Effin' EDGE connection. This ain't great anymore. @talk2GLOBE tsss 
neutral,neutral,1,"@MarvnNikkie I'll have this checked on behalf of @talk2GLOBE, Marvin, be right back. "
negative,negative,1,And I'm being charged P1 per nonsense message. @enjoyglobe @talk2globe #Globe http://t.co/KJQXVfV5gc http://t.co/niKUTt96kr 
negative,negative,1,@talk2globe @enjoyglobe #Globe please block 2662 from sending me nonsense! http://t.co/p4iPEEQCbM http://t.co/xrTKzoZrW2 
negative,negative,1,Yung totoo wala pa yung ulan wala na agad signal? @talk2GLOBE @enjoyGLOBE 
negative,neutral,0,"RT @PhilippineStar: Globe Telecom set to open a data center at the Gateway Business Park in General Trias, Cavite. | @enjoyGLOBE http://t.c? "
negative,negative,1,been passing me to different guys RE my concern and Im fed up. Thanks for the AMAZING CUSTOMER SERVICE. 
negative,negative,1,@CHICOPrecious @talk2GLOBE @enjoyGLOBE @debbie_obias Sobrang bad service! Okay lang sila sa advertisements pero kapag service na wala na. 
negative,negative,1,@enjoyGLOBE why is my subscription being cut? Its suppose to be unlimited.. 
negative,negative,1,@kharvinmamaril @talk2GLOBE @enjoyGLOBE @debbie_obias same problem. 2 weeks na wala pa rin! poor customer service ?? 
positive,positive,1,Hi @enjoyGLOBE #bestplanever #googlemoments :) 
neutral,positive,0,Survive si Globe ngaun ah kaya ako nakaka-tweet pa din. @enjoyGLOBE 
